"","EST_ID","mean.pr","SD.pr","ES0.99.pr","mean.tas","SD.tas","ES0.99","relative.abundance","richness","risk1","Area_Ha","mean.pr.norm","SD.pr.norm","ES0.99.pr.norm","mean.tas.norm","SD.tas.norm","ES0.99.norm","relative.abundance.norm","richness.norm","risk1.norm","Area_Ha.norm"
"1",1,12.33992304,-7.203992395,-3.008809854,26.56412344,8.145376387,12.68355834,0.164485723,45.07084656,0,91.553165587,0.535084256464938,0.523883454095358,0.4482949033849,0.207395143616152,0.456716100374243,0.289786312290208,0.227679737895139,0.571645781269796,0,0.0021147563603748
"2",2,14.67588393,-5.474031311,-0.942649669,27.1897666,9.246419908,13.56536224,0.253581315,55.09095001,0,122.522640554,0.610911939855971,0.575922190730331,0.504443512583858,0.225249502033532,0.505586399219031,0.338330675199443,0.353952544303256,0.701613596592152,0,0.00283057757177282
"3",3,15.53747925,2.627020659,5.360754871,34.78901285,11.18110711,19.26248827,0.10122779,38.9671936,93.9957619051058,97.4513116321,0.638880206540502,0.819608892027862,0.675740685333993,0.442113802523014,0.591458337911386,0.651964300022338,0.138025956510684,0.492477093575557,0.0805136031646171,0.00225108473053622
"4",4,15.42039995,3.843465365,6.221285353,34.83678392,10.14127098,18.26669313,0.088183157,37.85512161,16.7039682239029,113.939176422,0.63507969252931,0.856200608611552,0.699125895294183,0.443477074528996,0.545304755919864,0.59714458255521,0.119538146053418,0.478052734810929,0.014308056465476,0.00263218138651276
"5",5,14.17621401,-6.0666253,-1.602347048,26.76363159,8.595175374,12.89973964,0.144887194,40.23499298,0,115.354580042,0.594692142403034,0.558096447243815,0.486516010838369,0.213088628728797,0.476680625386668,0.301687352284917,0.199903265426099,0.50892134652243,0,0.0026648966952148
"6",6,13.35726758,-7.173733985,-2.738150374,26.60523928,7.658923616,12.63555596,0.272177935,70.23960114,0,176.069163534,0.56810830237639,0.524793653430792,0.455650167259813,0.208568491286079,0.435124681107678,0.287143723665655,0.380309037866992,0.89810229576288,0,0.00406823939802393
"7",7,19.18319993,1.44863167,9.122079157,29.10736147,5.123873759,11.41663981,0.069557965,22.78302574,258.873807611255,17.8079127987,0.757224034401071,0.784161924567568,0.777955958350283,0.279973070190672,0.322605383064393,0.220040926840276,0.093141158156082,0.282557011405699,0.221742582785468,0.00041022581079257
"8",8,19.20479292,1.34633122,3.582125543,29.03902585,5.289881627,11.09201467,0.074163027,25.58865356,129.436903805628,48.6495204539,0.757924964975806,0.781084637902321,0.627405825446217,0.278022935145395,0.329973714983169,0.202169923314865,0.0996677897140538,0.318947984831529,0.110871291392734,0.00112309152700933
"9",9,16.7531213,-2.812397567,1.508896804,30.22682361,10.0062576,15.33161231,0.171488509,55.60922241,0,148.579369658,0.67834119275771,0.655986452697726,0.571065125876421,0.311919840426676,0.539312127923967,0.435564861152284,0.237604599732249,0.708335955488544,0,0.00343284672267609
"10",10,15.35763674,-4.28378424,0.064974888,27.73598976,9.011560336,13.86642878,0.133233368,38.11663055,1.13453280881649,118.313264544,0.633042334439601,0.611725859628537,0.531826054305939,0.240837403728987,0.495162054266912,0.35490474952321,0.183386608637827,0.481444690371933,0.000971802584445326,0.00273328303778674
"11",11,12.34504094,-7.092197871,-2.91281682,26.60687731,8.257380233,12.76624111,0.161637679,44.60725403,0,288.659256105,0.535250388741591,0.527246330778235,0.450903546892319,0.208615236741936,0.461687440127293,0.294338098002679,0.223643281089804,0.565632658887925,0,0.00667062050204544
"12",12,11.03682437,-6.931273075,-3.287992769,33.0324748,15.62564334,21.71980936,0.195241004,57.84973526,540.436464986499,17.8871683969,0.492784338774092,0.532087088847612,0.440708012250726,0.391986410546947,0.788731024816001,0.78724277495024,0.271268377428958,0.737396988817113,0.462919669947884,0.000412057706179045
"13",13,14.34711914,-2.134316535,1.08960149,29.87627964,9.934754843,16.09564551,0.135399342,42.57336426,28.7754229225704,777.944963508,0.600239897993901,0.676383720918251,0.559670632411849,0.301916154489422,0.53613844674228,0.47762580569506,0.186456385822618,0.539251672770123,0.0246480579030874,0.0179798560692016
"14",14,11.69316098,-3.675518846,-0.613870119,30.46519323,10.17686375,16.52470281,0.225085467,47.02906799,65.7195081982174,392.720858528,0.514089697469983,0.630023012631162,0.51337820922528,0.318722338884894,0.546884556602978,0.501245924952932,0.313566138902424,0.597045295600611,0.0562931167959144,0.00907587607663377
"15",15,16.93092101,-2.390851113,1.433130836,29.35152019,9.730579365,15.7285068,0.271272063,58.01762772,21.7830299292766,897.877413291,0.684112753478017,0.668666937306311,0.569006159800752,0.286940775707678,0.527076028739425,0.457414379122476,0.379025169640531,0.739574672545049,0.0186586096213503,0.0207519467029976
"16",16,13.39135297,-6.787253583,-2.425564093,26.68110091,8.056094406,12.69051641,0.242857337,65.04924774,0,610.453551937,0.569214749052036,0.536419320643926,0.464144806281629,0.210733400644549,0.452753280549499,0.290169362393783,0.338753736286818,0.830779748095075,0,0.0141084987001383
"17",17,7.350542115,-5.625772885,-2.829857203,33.09950089,15.64257079,21.96366994,0.106182538,35.69271851,190.350774613471,78.5400075166,0.37312384063873,0.571357671979595,0.453158002838206,0.393899174740158,0.789482357097062,0.80066759252564,0.145048188710511,0.450004840080532,0.163048061090018,0.00181397326398736
"18",18,17.07100511,-2.447910414,4.520770206,29.22392993,9.817189855,15.08136922,0.11803861,38.38702774,84.5262028186324,76.3143049279,0.688660026862769,0.666950543819326,0.652913814972922,0.283299655052564,0.530920273266244,0.421788678742013,0.161851483360786,0.484951932809994,0.0724022978570232,0.0017625288941699
"19",19,16.59572375,-2.476426743,4.061826324,29.44403351,8.442804794,13.95585415,0.063886315,18.58934784,169.052405637265,46.0345643044,0.673231907050481,0.66609274779816,0.640441858121875,0.289580884445799,0.469917590467766,0.359827723457179,0.0851028798710621,0.228162048564407,0.144804595714046,0.00106265004129857
"20",20,16.80049593,-3.21648158,4.214391621,30.11974123,10.66209491,15.84804839,0.062144585,13.8769083,0,39.0041474357,0.679879021776931,0.643831253528569,0.64458787221157,0.308863965584687,0.568421754130343,0.463995287108602,0.0826343723931029,0.167038381038551,0,0.000900150627764812
"21",21,16.70588365,-3.814984427,3.77062427,30.32013291,10.91485501,16.35342566,0.075211532,20.26292229,299.447148948472,31.8158920347,0.676807810249608,0.625827766445322,0.632528342777478,0.314582664528956,0.57964062185668,0.491816912303227,0.101153807887466,0.249869490621387,0.256496340160031,0.00073400297125901
"22",22,14.97019502,-3.036783393,1.06653963,27.93737215,8.773437227,13.47143998,0.186048046,42.0891037,50.4178611557919,294.347334401,0.620465579322507,0.649236731555539,0.559043918484274,0.246584375165562,0.484592855795892,0.333160142074452,0.258239443227007,0.532970471448796,0.0431862414137812,0.00680209341531594
"23",23,17.30127308,-1.417026021,3.200701455,29.84874917,10.64495192,15.48949952,0.094718903,31.59337997,218.710167783851,81.9662380319,0.696134761049888,0.69796044451859,0.617040495491811,0.301130500765054,0.567660855011994,0.444256741536309,0.128801084554243,0.396833525336218,0.187339761922386,0.00189316635591431
"24",24,14.82305929,-6.553641561,-1.515779998,29.13300041,7.457991465,13.81575058,0.250664294,41.16236496,35.2944103714119,219.707030624,0.615689402804437,0.543446573800114,0.488868500008978,0.280704744175891,0.426206219594025,0.352114853796522,0.349818328235401,0.520950015770527,0.0302320029433012,0.00507687486622203
"25",25,21.54276245,4.083366507,8.358342432,42.04094755,3.50730264,9.443118093,0.10672576,31.84015846,15.6879424799636,868.921845131,0.833817850878841,0.863417043976735,0.757201151818709,0.649066662605803,0.250853166024296,0.11139618798246,0.14581808276366,0.400034416561932,0.0134377630405964,0.0200826744631842
"26",26,13.76610669,-3.1295389,1.40538775,30.04579343,10.36411114,16.76627508,0.111002386,34.96799088,95.729085273254,18.5185640327,0.58137963869185,0.646446565091762,0.568252231956679,0.306753672353995,0.555195614006863,0.514544768316731,0.151879230738051,0.440604611106364,0.0819983095704222,0.000426651637441082
"27",27,16.4709039,-3.653170103,3.828080973,30.34180255,10.07135062,15.40875462,0.066202886,16.83216476,299.447148948472,8.92187580587,0.669180126857056,0.63069528229194,0.634089748319037,0.315201064192009,0.542201310121979,0.439811637892891,0.0883860941676084,0.205370143553785,0.256496340160031,0.000204836027093847
"28",28,16.91477946,-3.221010058,4.239338521,29.53813996,10.95672209,15.77779596,0.105230063,31.83714676,72.381551326446,98.8490551156,0.683588782230005,0.643695032964894,0.645265812745413,0.292266457301238,0.581498910536768,0.460127806530238,0.143698271295028,0.399995352686857,0.0619995985119014,0.00228339184696776
"29",29,16.95323539,-3.727801288,1.688896438,29.30557634,11.43855251,16.34775759,0.117743745,36.85269547,288.699460002227,42.2557304227,0.684837101111126,0.628450311224735,0.57595667745059,0.28562964818736,0.602885164729993,0.491504878247724,0.161433579060183,0.465050560124018,0.24729023187157,0.000975306957511947
"30",30,17.20981668,-1.342370029,3.064290841,29.43916482,8.593248806,13.2847457,0.077680297,20.8499012,219.338645277483,54.2922318834,0.693165992620172,0.700206161801968,0.613333490433984,0.289441943685569,0.476595113822312,0.322882397916825,0.104652722681277,0.257483021455043,0.187878094571588,0.00125351584112309
"31",31,16.47798319,1.655538915,5.048744592,35.66939337,11.30997721,19.47903912,0.090988174,38.5643692,75.1966095240847,83.5029623509,0.669409927862309,0.790385874765064,0.667261699363393,0.467237755524849,0.597178293734238,0.663885684188028,0.123513621839162,0.487252176738342,0.0644108825316937,0.00192868584291832
"32",32,15.53971669,2.617305263,5.351098879,34.74591382,11.05535225,19.28570377,0.10576608,43.22218323,375.983047620423,5.95990459783,0.638952836134882,0.819316644451645,0.675478280451171,0.440883859356911,0.585876653380149,0.653242341157243,0.144457953893831,0.547667312837253,0.322054412658468,0.000136373716366122
