EST_ID,mean.pr,SD.pr,ES0.99.pr,mean.tas,SD.tas,ES0.99,relative.abundance,richness,risk5,Area_Ha,mean.pr.norm,SD.pr.norm,ES0.99.pr.norm,mean.tas.norm,SD.tas.norm,ES0.99.norm,relative.abundance.norm,richness.norm,risk5.norm,Area_Ha.norm
1,3.49,-13.8,-9.3,17.94,-0.1,6.36,0.16,45.07,37.14,91.55,0.48,0.75,0.49,0.28,0.64,0.61,0.23,0.57,0.03,0
2,4.96,-11.6,-6.1,18.16,-0.05,6.86,0.25,55.09,10.23,122.52,0.54,0.84,0.59,0.28,0.64,0.65,0.35,0.7,0.01,0
3,1.99,-12.76,-8.5,19.18,-6.99,1.97,0.1,38.97,115.84,97.45,0.42,0.79,0.52,0.32,0.34,0.31,0.14,0.49,0.1,0
4,1.99,-11.51,-7.68,19.34,-6.86,1.76,0.09,37.86,54.82,113.94,0.42,0.84,0.54,0.33,0.34,0.3,0.12,0.48,0.05,0
5,5.32,-12.31,-6.78,17.97,-0.32,6.51,0.14,40.23,10.23,115.35,0.55,0.81,0.57,0.28,0.63,0.62,0.2,0.51,0.01,0
6,3.39,-13.62,-9.39,17.73,-0.43,5.94,0.27,70.24,10.61,176.07,0.48,0.76,0.49,0.27,0.62,0.58,0.38,0.9,0.01,0
7,8.29,-9.99,0.36,19,-4.6,3.97,0.07,22.78,344.1,17.81,0.67,0.9,0.77,0.32,0.44,0.45,0.09,0.28,0.3,0
8,8.32,-9.93,-6.93,19.05,-4.46,4.09,0.07,25.59,172.05,48.65,0.67,0.9,0.56,0.32,0.45,0.46,0.1,0.32,0.15,0
9,5.2,-13.44,-8,19.3,-1.89,4.86,0.17,55.61,0,148.58,0.55,0.77,0.53,0.33,0.56,0.51,0.24,0.71,0,0
10,5.43,-10.61,-5.68,18.21,-0.38,6.53,0.13,38.12,9.05,118.31,0.56,0.88,0.6,0.29,0.62,0.62,0.18,0.48,0.01,0
11,3.71,-13.67,-9.01,18.03,0.17,6.64,0.16,44.61,4.95,288.66,0.49,0.76,0.5,0.28,0.65,0.63,0.22,0.57,0,0.01
12,4.63,-16.16,-11.8,18.14,3.16,9.71,0.2,57.85,580.51,17.89,0.52,0.66,0.42,0.28,0.78,0.84,0.27,0.74,0.5,0
13,6.13,-10.41,-5.8,17.09,0.62,6.66,0.14,42.57,30.6,777.94,0.58,0.89,0.59,0.24,0.67,0.63,0.19,0.54,0.03,0.02
14,4.28,-12.4,-7.85,16.94,1.18,7.03,0.23,47.03,70.59,392.72,0.51,0.81,0.54,0.24,0.69,0.66,0.31,0.6,0.06,0.01
15,6.77,-9.56,-5.06,18.1,-0.05,6.56,0.27,58.02,24.73,897.88,0.61,0.92,0.62,0.28,0.64,0.63,0.38,0.74,0.02,0.02
16,3.22,-13.38,-9.2,17.77,-0.63,5.81,0.24,65.05,5.31,610.45,0.47,0.77,0.5,0.27,0.61,0.57,0.34,0.83,0,0.01
17,0.99,-14.67,-10.95,18.28,3.28,9.84,0.11,35.69,204.47,78.54,0.38,0.72,0.45,0.29,0.78,0.85,0.15,0.45,0.18,0
18,6.14,-9.73,-2.55,18.86,-1.97,6.98,0.12,38.39,131.34,76.31,0.58,0.91,0.69,0.31,0.55,0.65,0.16,0.48,0.11,0
19,5.45,-9.67,-3.46,18.93,-0.86,6.59,0.06,18.59,262.68,46.03,0.56,0.91,0.66,0.31,0.6,0.63,0.09,0.23,0.23,0
20,5.84,-10.12,-3.31,18.87,-0.28,7.33,0.06,13.88,51.42,39,0.57,0.9,0.67,0.31,0.63,0.68,0.08,0.17,0.04,0
21,5.92,-10.54,-3.56,18.88,-0.11,7.53,0.08,20.26,388.42,31.82,0.57,0.88,0.66,0.31,0.63,0.69,0.1,0.25,0.33,0
22,6.47,-9.66,-5.24,18.48,0.28,6.94,0.19,42.09,58.64,294.35,0.6,0.92,0.61,0.3,0.65,0.65,0.26,0.53,0.05,0.01
23,8.15,-7.55,-3.03,17.47,-1.68,5.82,0.09,31.59,254.37,81.97,0.66,1,0.67,0.26,0.57,0.57,0.13,0.4,0.22,0
24,4.36,-14.01,-9.5,18.3,-1.05,5.41,0.25,41.16,43.2,219.71,0.51,0.74,0.49,0.29,0.59,0.55,0.35,0.52,0.04,0.01
25,2.71,-16.42,-11.36,27.69,-8.51,-0.4,0.11,31.84,19.41,868.92,0.45,0.65,0.44,0.66,0.27,0.15,0.15,0.4,0.02,0.02
26,3.34,-9.45,-5.88,19.09,-0.09,6.97,0.11,34.97,117.18,18.52,0.47,0.92,0.59,0.32,0.64,0.65,0.15,0.44,0.1,0
27,5.73,-10.69,-3.74,18.93,-0.48,6.95,0.07,16.83,388.42,8.92,0.57,0.87,0.65,0.31,0.62,0.65,0.09,0.21,0.33,0
28,7.11,-9.94,-2.83,17.65,-1.95,5.85,0.11,31.84,93.89,98.85,0.62,0.9,0.68,0.27,0.56,0.58,0.14,0.4,0.08,0
29,7.17,-10.41,-5.19,17.21,-2.16,5.89,0.12,36.85,374.48,42.26,0.62,0.89,0.61,0.25,0.55,0.58,0.16,0.47,0.32,0
30,8.38,-7.74,-3.09,18.56,-0.85,5.81,0.08,20.85,255.1,54.29,0.67,0.99,0.67,0.3,0.6,0.57,0.1,0.26,0.22,0
31,3.75,-12.26,-7.47,19.48,-6.86,1.97,0.09,38.56,92.67,83.5,0.49,0.81,0.55,0.34,0.34,0.31,0.12,0.49,0.08,0
32,1.99,-12.78,-8.53,19.23,-7.19,1.99,0.11,43.22,463.35,5.96,0.42,0.79,0.52,0.33,0.33,0.31,0.14,0.55,0.4,0
33,7.43,-9.97,-2.16,22.9,-2.17,4.53,0.12,40.22,4.01,292.2,0.63,0.9,0.7,0.47,0.55,0.49,0.16,0.51,0,0.01
34,2.92,-12.86,-8.66,18.1,-1.32,5.25,0.17,53.15,0,109.6,0.46,0.79,0.51,0.28,0.58,0.54,0.24,0.68,0,0
35,5.41,-25.05,-16.2,26.65,-11.19,-1.16,0.09,38.09,1.56,19540.08,0.55,0.31,0.3,0.61,0.16,0.1,0.12,0.48,0,0.45
