EST_ID,Estuary_Name
1,Fanny Bay/Cowie Creek
2,Englishman River
3,Quatse River/Boyden Creek Complex
4,Cluxewe River
5,Little Qualicum River
6,Trent River
7,Tahsis River
8,Leiner River
9,Campbell River (2)
10,Nanoose/Bonell Creek Complex
11,Mud Bay/Rosewall/Waterloo Creek Complex
12,Gorge Waters/Craigflower Creek
13,Chemainus River/Bonsall Creek Complex
14,Cowichan River
15,Nanaimo River
16,Courtenay River
17,Sooke River
18,Cypre River
19,Bedwell Creek
20,Bulson Creek
21,Tranquil River
22,Somas River
23,Sarita River
24,Squamish River
25,Kitimat River
26,Capilano River
27,Tofino Creek
28,Toquart River
29,Maggie River
30,Nahmint River
31,Marble River
32,Glenlion River
33,Salmon River
34,Black Creek
35,Skeena/Ecstall/McNeil River Complex
36,Tsable River
37,Cous Creek
38,Macktush Creek
39,Lucky Creek
40,Unnamed
41,Coeur d'Alene Creek
42,Snug Basin
43,Tsowwin River
44,San Josef River
45,Hansen/Rasmus/Fisherman River Complex
46,Shushartie River
47,Nahwitti River
48,Stranby River
49,Clesklagh Creek
50,Goodspeed River
51,Hathaway Creek
52,Youghpan Creek
53,Wanokana Creek
54,Kewquodie Creek
55,Klootchlimmis Creek
56,Koprino River
57,Mahatta Creek
58,Nordstrom Cove
59,Denad Creek
60,Kwatleo Creek
61,Grant Bay
62,Sydney River
63,Ice River
64,Hesquiat River
65,Escalante River
66,Mooyah River
67,Silverado Creek
68,Houston River
69,Kleeptee Creek
70,McCurdy Creek
71,Nimpkish River
72,Kokish River
73,Tsitika River
74,Big Qualicum River
75,Oyster River
76,Amor de Cosmos Creek
77,Unnamed
78,Adam River
79,Waukwaas Creek
80,Keogh River
81,Tsulquate River
82,Songhees Creek
83,Unnamed
84,Power River
85,Ououkinsh/Unnamed River Complex
86,Easy Inlet
87,Kauwinch River
88,Kashutl River
89,Artlish River
90,Little Zeballos River
91,Burman River
92,Jacklah River
93,Atleo River
94,Unnamed
95,Moyeha River
96,Mohun Creek
97,Colquitz River
98,Mill Stream
99,Effingham River
100,Henderson Lake
101,China Creek
102,Coleman Creek
103,Keith River
104,Malksope River
105,McKay Cove
106,Clanninick Creek
107,Conuma River
108,Canton Creek
109,Sucwoa River
110,Tlupana/Nesook River Complex
111,Gold River
112,Megin River
113,Kennedy River
114,Schmidt Creek
115,Naka Creek
116,Unnamed
117,Cayaghis Creek
118,Klaskish River
119,Irony Creek
120,East Creek
121,Kingfisher Creek
122,Moneses Lake
123,Empetrum Lake
124,Nasparti River
